date,FXUSDCAD,log_fx,diff_log_fx
2017-12-08,1.286,0.2515366258154277,0.010238863921175928
2017-12-15,1.2834,0.24951280633427797,-0.0020238194811497134
2017-12-22,1.2759,0.24365181194556051,-0.005860994388717455
2017-12-29,1.2545,0.22673708682433988,-0.016914725121220636
2018-01-05,1.2403,0.21535328583914679,-0.011383800985193093
2018-01-12,1.2504,0.22346350012512978,0.008110214285982992
2018-01-19,1.2459,0.2198581603226805,-0.0036053398024492866
2018-01-26,1.2321,0.20872003064848552,-0.011138129674194974
2018-02-02,1.238,0.21349717426240436,0.004777143613918844
2018-02-09,1.2609,0.23182575169704359,0.018328577434639226
2018-02-16,1.254,0.22633844221072896,-0.005487309486314623
2018-02-23,1.2668,0.23649403568234761,0.010155593471618651
2018-03-02,1.2891,0.253944300466922,0.0174502647845744
2018-03-09,1.284,0.24998020526776946,-0.003964095199152556
2018-03-16,1.3088,0.26911068686634554,0.019130481598576082
2018-03-23,1.2856,0.2512255354411658,-0.017885151425179713
2018-03-30,1.2894,0.2541769938943828,0.002951458453216982
2018-04-06,1.2764,0.24404361542195138,-0.010133378472431426
2018-04-13,1.2597,0.23087359737612026,-0.013170018045831122
2018-04-20,1.2728,0.24121919804144,0.010345600665319754
2018-04-27,1.2857,0.25130331710806614,0.010084119066626124
2018-05-04,1.2861,0.25161438328990404,0.0003110661818379046
2018-05-11,1.2779,0.24521810563252058,-0.006396277657383459
2018-05-18,1.288,0.2530906276821619,0.007872522049641312
2018-05-25,1.2974,0.26036226179681804,0.007271634114656145
2018-06-01,1.2964,0.25959119228525523,-0.0007710695115628052
2018-06-08,1.2962,0.2594369070114786,-0.00015428527377664425
2018-06-15,1.3177,0.27588779256906953,0.016450885557590944
2018-06-22,1.3308,0.2857802651621846,0.009892472593115043
2018-06-29,1.3168,0.2752045509406683,-0.010575714221516264
2018-07-06,1.3105,0.27040874378132396,-0.004795807159344356
2018-07-13,1.3171,0.2754323500228637,0.0050236062415397464
2018-07-20,1.3142,0.27322811548163045,-0.002204234541233252
2018-07-27,1.3062,0.26712215848641974,-0.006105956995210715
2018-08-03,1.2983,0.2610557163840707,-0.006066442102349023
2018-08-10,1.3113,0.2710190115552414,0.009963295171170672
2018-08-17,1.3081,0.26857570271204434,-0.002443308843197045
2018-08-24,1.3036,0.26512966798126947,-0.0034460347307748718
2018-08-31,1.3055,0.26658610915704656,0.00145644117577709
2018-09-07,1.3164,0.27490073808704785,0.008314628930001289
2018-09-14,1.3033,0.26489950955453695,-0.010001228532510897
2018-09-21,1.2916,0.25588175990198314,-0.009017749652553808
2018-09-28,1.2945,0.25812452020945525,0.0022427603074721136
2018-10-05,1.2936,0.2574290292807601,-0.0006954909286951416
2018-10-12,1.3031,0.2647460411687232,0.007317011887963076
2018-10-19,1.3104,0.2703324341166679,0.005586392947944718
2018-10-26,1.3108,0.2706376378425224,0.00030520372585451927
2018-11-02,1.3105,0.27040874378132396,-0.00022889406119847022
2018-11-09,1.3206,0.2780861787783339,0.007677434997009958
2018-11-16,1.3154,0.2741408018851135,-0.003945376893220387
2018-11-23,1.3228,0.2797507021255006,0.0056099002403871
2018-11-30,1.3301,0.28525412737711353,0.005503425251612903
2018-12-07,1.3299,0.2851037514369805,-0.00015037594013300737
2018-12-14,1.3379,0.29110122049743664,0.005997469060456118
2018-12-21,1.3566,0.3049815695298421,0.013880349032405481
2018-12-28,1.3638,0.3102749211044154,0.0052933515745732795
2019-01-04,1.341,0.29341560429954144,-0.01685931680487396
2019-01-11,1.3259,0.2820914741385361,-0.011324130161005364
2019-01-18,1.326,0.2821668917636708,7.541762513474382e-05
2019-01-25,1.3256,0.281865187130216,-0.00030170463345480236
2019-02-01,1.3095,0.2696453849656296,-0.012219802164586402
2019-02-08,1.327,0.28292075535007044,0.013275370384440821
2019-02-15,1.3266,0.2826192781093186,-0.00030147724075185733
2019-02-22,1.3173,0.27558418725364436,-0.00703509085567422
2019-03-01,1.326,0.2821668917636708,0.00658270451002646
2019-03-08,1.3422,0.2943100587420019,0.012143166978331066
2019-03-15,1.3342,0.28833186129327804,-0.005978197448723854
2019-03-22,1.3411,0.29349017273475736,0.005158311441479324
2019-03-29,1.3363,0.28990460080487823,-0.0035855719298791278
2019-04-05,1.3386,0.2916242916844048,0.0017196908795265586
2019-04-12,1.3329,0.2873570196278354,-0.0042672720565694044
2019-04-19,1.3382,0.29132542736657957,0.003968407738744184
2019-04-26,1.346,0.2971372312225361,0.005811803855956532
2019-05-03,1.3429,0.29483145460499255,-0.0023057766175435535
2019-05-10,1.3418,0.2940119961466507,-0.0008194584583418596
2019-05-17,1.3468,0.29773140830478234,0.003719412158131652
2019-05-24,1.3447,0.2961709398476872,-0.001560468457095121
2019-05-31,1.3527,0.30210259511301113,0.00593165526532391
2019-06-07,1.3283,0.2838999291563206,-0.01820266595669051
2019-06-14,1.3385,0.2915495839782702,0.00764965482194957
2019-06-21,1.3212,0.27854041453449746,-0.013009169443772728
2019-06-28,1.3087,0.26903427807929786,-0.009506136455199599
2019-07-05,1.3099,0.26995079842146624,0.000916520342168381
2019-07-12,1.3038,0.26528307750830193,-0.004667720913164308
2019-07-19,1.3071,0.267810942809369,0.002527865301067078
2019-07-26,1.3182,0.2762671696364825,0.0084562268271135
2019-08-02,1.3225,0.2795238847503174,0.003256715113834907
2019-08-09,1.3221,0.279221381533914,-0.0003025032164034047
2019-08-16,1.3286,0.28412575624900377,0.004904374715089754
2019-08-23,1.331,0.2859305394129745,0.0018047831639707579
2019-08-30,1.3295,0.2848029317009374,-0.0011276077120371264
2019-09-06,1.3174,0.27566009722445545,-0.009142834476481954
2019-09-13,1.3257,0.281940621822667,0.006280524598211545
2019-09-20,1.3275,0.2832974741339568,0.0013568523112897912
2019-09-27,1.3249,0.28133698489194037,-0.0019604892420164166
2019-10-04,1.3317,0.2864563215259623,0.00511933663402192
2019-10-11,1.3198,0.27748020996718425,-0.008976111558778033
2019-10-18,1.3132,0.2724669066453005,-0.005013303321883766
2019-10-25,1.3064,0.26727526267411833,-0.005191643971182158
2019-11-01,1.3157,0.27436884338965556,0.007093580715537229
2019-11-08,1.3223,0.27937264458064015,0.005003801190984591
2019-11-15,1.3231,0.2799774680662282,0.0006048234855880463
2019-11-22,1.3287,0.28420102061512514,0.004223552548896947
2019-11-29,1.3289,0.28435153235532495,0.00015051174019981017
2019-12-06,1.3255,0.2817897467469431,-0.002561785608381828
2019-12-13,1.3183,0.2763430277817872,-0.005446718965155917
2019-12-20,1.3164,0.27490073808704785,-0.0014422896947393626
2019-12-27,1.3078,0.26834633614503856,-0.006554401942009291
2020-01-03,1.2988,0.2614407612465538,-0.0069055748984847565
2020-01-10,1.3051,0.26627966619134485,0.004838904944791056
2020-01-17,1.3062,0.26712215848641974,0.0008424922950748814
2020-01-24,1.314,0.2730759200624188,0.005953761575999084
2020-01-31,1.3233,0.2801286167968666,0.007052696734447805
2020-02-07,1.3305,0.28555481143560685,0.005426194638740223
2020-02-14,1.3249,0.28133698489194037,-0.004217826543666481
2020-02-21,1.3224,0.2794482675246774,-0.001888717367262982
2020-02-28,1.3429,0.29483145460499255,0.015383187080315164
