date,GASREGW,diff_log_gas
1998-05-04,1.049,0.008616616260878729
1998-05-11,1.063,0.013257769945650769
1998-05-18,1.072,0.008430963288799477
1998-05-25,1.07,-0.0018674141747954398
1998-06-01,1.066,-0.0037453227301620096
1998-06-08,1.075,0.008407335835973223
1998-06-15,1.066,-0.008407335835973223
1998-06-22,1.058,-0.007532992307545165
1998-06-29,1.057,-0.0009456265480071654
1998-07-06,1.058,0.0009456265480071654
1998-07-13,1.054,-0.0037878833169370588
1998-07-20,1.059,0.004732616500098721
1998-07-27,1.05,-0.00853490244983731
1998-08-03,1.039,-0.010531452052341773
1998-08-10,1.033,-0.005791521979588855
1998-08-17,1.026,-0.0067994433889236
1998-08-24,1.019,-0.006845992507990145
1998-08-31,1.013,-0.005905528974041438
1998-09-07,1.007,-0.005940611530121091
1998-09-14,1.002,-0.004977611073752081
1998-09-21,1.014,0.011904902506318376
1998-09-28,1.014,0.0
1998-10-05,1.019,0.004918849071596234
1998-10-12,1.022,0.002939737540925042
1998-10-19,1.019,-0.002939737540925042
1998-10-26,1.015,-0.003933141746837109
1998-11-02,1.01,-0.0049382816405824665
1998-11-09,1.008,-0.0019821612039912107
1998-11-16,0.996,-0.011976191046715703
1998-11-23,0.989,-0.007052925961886126
1998-11-30,0.974,-0.01528302798017703
1998-12-07,0.954,-0.02074763219424859
1998-12-14,0.945,-0.009478743954543782
1998-12-21,0.944,-0.0010587613482420655
1998-12-28,0.937,-0.007442883907078389
1999-01-04,0.935,-0.002136752949735185
1999-01-11,0.941,0.006396610296692515
1999-01-18,0.944,0.003183026560121059
1999-01-25,0.936,-0.008510689667908529
1999-02-01,0.929,-0.007506737663753538
1999-02-08,0.927,-0.0021551732479833663
1999-02-15,0.919,-0.008667443210168116
1999-02-22,0.907,-0.01314367224055045
1999-03-01,0.913,0.006593430479831866
1999-03-08,0.921,0.008724155660338392
1999-03-15,0.977,0.059026615787475825
1999-03-22,1.017,0.040125744005777134
1999-03-29,1.082,0.061954063357867045
1999-04-05,1.118,0.03273019430861766
1999-04-12,1.14,0.01948688767349649
1999-04-19,1.135,-0.004395611473037991
1999-04-26,1.131,-0.0035304537993826046
1999-05-03,1.136,0.004411123164976105
